Profile Cohort,PROFILE_GENDER_DESC,PROFILE_RESIDENCE_DESC,Years to Graduation,Admit Group,College,AwC,Ethnicity,YR4Code,YR4NUM,YR5Code,YR5NUM,YR6Code,YR6NUM,YRallCode,YRallNUM,Grad Semester1,DEGREE_DESC,Overall College,MAJOR_DESC,HONOR_DESC,Change College,Change Major,PROFILE_ADMISSIONS_POPULATION,PROFILE_COLLEGE_DESC,PROFILE_MAJOR_DESC,PROFILE_HIGH_SCHOOL_PERCENTILE,SCHOOL_SIZE,MAX(M),MAX(CR),MAX(W),MAX(M+CR),MAX(Total),CoreGPA,Round(CoreGPA),EnglGPA,Round(EnglGPA),MthGPA,Round(MthGPA),LabGPA,Round(LabGPA),FL-Subj,FL-GPA,Round(FL-GPA),AP CALC AB Score,AP CALC ABsub Score,AP CALC BC Score,AP CHEM Score,AP PHYS B Score,AP PHYS Celec Score,AP PHYS Cmech Score
201110.0,Female,Non-Resident,0.0,II,7.0,27.0,2Y,N,270.0,N,270.0,N,,N,,,,,,,,,B,College of Pharmacy,Pre Pharmacy,97.0,561.0,770.0,770.0,690.0,1540.0,2230.0,3.87,3.9,3.83,3.8,4.0,4.0,4.0,4.0,SPAN,4.0,4.0,,5.0,5.0,5.0,,,
201110.0,Male,Resident,5.0,II,4.0,24.0,2Y,NYY,240.0,GYY,241.0,GYY,,GYY,,201520.0,BS,College of Health & Human Sci,DIDA - Didactic Dietetics,,YES,YES,B,"College of Science
",Science,82.0,469.0,540.0,500.0,460.0,1040.0,1500.0,3.26,3.3,3.0,3.0,3.22,3.2,3.4,3.4,SPAN,3.48,3.5,,,,,,,
201110.0,Male,Non-Resident,0.0,II,8.0,28.0,2Y,N,280.0,N,280.0,N,,N,,,,,,,,,B,"College of Science
",Science,,,580.0,560.0,490.0,1140.0,1630.0,3.08,3.1,3.18,3.2,3.22,3.2,2.95,3.0,LATN,2.28,2.3,,,,,,,
201110.0,Male,Resident,3.0,II,5.0,25.0,2Y,GYY,251.0,GYY,251.0,GYY,,GYY,,201320.0,BA,College of Liberal Arts,CRTV - Creative Writing,,YES,YES,B,"College of Science
",Mathematics,,,620.0,590.0,520.0,1210.0,1730.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,SPAN,,,,,,,,,
201110.0,Female,Resident,4.0,II,8.0,28.0,2Y,GNN,281.0,GNN,281.0,GNN,,GNN,,201420.0,BS,College of Science,MABU - Mathematics/Business,,NO,NO,B,"College of Science
",Mathematics,88.0,567.0,630.0,590.0,580.0,1220.0,1800.0,3.76,3.8,3.69,3.7,3.83,3.8,3.83,3.8,SPAN,3.57,3.6,3.0,,,,,,
201110.0,Female,Resident,4.0,II,1.0,21.0,2Y,GYY,211.0,GYY,211.0,GYY,,GYY,,201420.0,BS,College of Agriculture,PLBI - Plant Biology,,YES,YES,B,"College of Science
",Biology,75.0,175.0,640.0,650.0,590.0,1290.0,1880.0,3.04,3.0,3.38,3.4,2.5,2.5,2.94,2.9,FREN,3.02,3.0,,,,,,,
201110.0,Male,Resident,5.0,II,9.0,29.0,2Y,NNY,290.0,GNY,291.0,GNY,,GNY,,201510.0,BS,College of Technology,IT - Industrial Technology,,NO,YES,B,College of Technology,Electrical Engr Technology,74.0,579.0,490.0,510.0,510.0,1000.0,1510.0,2.79,2.8,2.83,2.8,2.95,3.0,2.4,2.4,SPAN,2.65,2.7,,,,,,,
201110.0,Male,Resident,4.0,II,9.0,29.0,2Y,GNN,291.0,GNN,291.0,GNN,,GNN,,201420.0,BS,College of Technology,CGTC - Computer Graphics Tech,,NO,NO,B,College of Technology,Computer Graphic Tech Freshman,69.0,218.0,570.0,500.0,470.0,1070.0,1540.0,2.71,2.7,3.0,3.0,2.73,2.7,2.6,2.6,SPAN,2.43,2.4,,,,,,,
201110.0,Male,Resident,0.0,II,9.0,29.0,2Y,N,290.0,N,290.0,N,,N,,,,,,,,,B,College of Technology,Aviation Management,92.0,309.0,630.0,590.0,510.0,1220.0,1730.0,3.54,3.5,3.53,3.5,3.38,3.4,3.48,3.5,SPAN,3.68,3.7,3.0,,,,,,
201110.0,Male,Resident,4.0,II,9.0,29.0,2Y,GNN,291.0,GNN,291.0,GNN,,GNN,,201420.0,BS,College of Technology,BCMT - Building Const Mgmt Tech,,NO,NO,B,College of Technology,Building Const Mgmt Tech,33.0,204.0,660.0,530.0,560.0,1190.0,1750.0,2.86,2.9,2.7,2.7,3.15,3.2,2.98,3.0,SPAN,2.53,2.5,3.0,,,,,,
